doc_id,cat
1000029981939875422,1192
1000103932845397396,251
1000115462666782749,429
1000207870420986507,2968
1000305001855188840,2256
1000648872502896320,460
1000697039465156211,66
1000711700475673528,1192
1000823356143118875,777
1001176517861966063,42
1001204959974085187,238
1001659164939095453,637
1001746214003719585,556
100184282469421152,334
1002278365081541861,2848
100257865137455615,2259
1002627579670693706,474
1002916776715838698,1820
1003024811779517820,196
1003143948325824658,620
1003394939992784385,1185
1003401093825605284,2236
1003486386068784504,1313
1003490898131587782,1757
1003522150541349527,2138
1003878371851932173,267
1004126081399358933,33
1004265069876039027,434
1004391525741574965,301
1004670666814404685,1669
1004973732495009028,1242
1005277480161031573,334
1005334409657341471,1005
1005549723952822171,85
1005698300778707134,301
1006448840014128744,1385
1006615376602820595,1179
1006662367630596652,42
100697991343315792,1543
1007188951544799484,624
1007216830792911522,274
1007225020259020392,169
1007486193736736605,2874
1007652095637119710,1598
1008044884587461601,14
1008070674753930685,195
100810917586626709,637
1008214856904401135,2663
1008263759114033988,642
1008319209953311022,1192
1008382853223059384,467
1008665924567536360,25
1008826267955925505,572
1008895044472111328,2395
1009034882989941375,165
100911699922537965,1123
1009526902018854089,85
1009669219021601592,331
1009831829826275943,28
1010188266914971479,721
101030684299093558,290
1010503134828298571,494
1010656861970900738,280
1010832997877439941,1478
1010886136748133795,93
1011046219843353729,10
1011331142339082093,2536
1011474028450030584,1318
1011661506208910116,501
1011689450032714444,1024
1011820049982032469,1520
1011831076507678900,1196
1012055943186158539,1297
1012059452493621464,215
1012088267259158865,252
1012145201475381641,813
1012305140111826395,2761
1012363523477449501,76
10126474440109223,1554
1012655030427859080,1882
1012720013344960755,596
1012973753290765199,42
1013220749392205183,2472
1013277024253140452,264
1013413797481449306,735
1013460187878398591,2262
1013693910546299531,1383
1013895803461419197,909
101434679041993437,1490
1014393276291010450,90
1014437001310469043,1526
1014643498625160297,901
1014737798722272915,1583
1014763635826770889,248
1014835812268863748,366
1014900672445567858,209
101492624031062109,10
1015074804057310033,430
1015290071811862804,2667
1015534049577704778,2106
1015591677312137312,662
1015601336644159447,624
101563336795375178,2133
101571384323325881,530
1015736623223579076,360
1015748721359887065,1142
1015843432067055648,1199
1015848525762548624,637
1016089010532501195,169
1016368119366635170,103
1016385738569690309,1526
1016421998340994079,2679
1016472122050010266,21
1016507851310912231,958
1016594713991169153,368
1016611924172477617,306
1016803916959052514,385
1016840668676482723,237
1016917047567060428,893
1016966413816489534,1243
1016973186238395481,1369
1017013847711689684,2392
1017210393543779327,103
1017307265277618198,1296
1017414056998652637,103
1017541703133261916,931
1017814965513230584,1415
1017927672956247637,418
1018195870560797147,286
1018438520519800658,1599
1018891187950987109,297
1018894457326383896,3062
1018937425859937734,1983
1019122263798817741,2101
1019654784850011231,2556
1020025717746667489,103
1020051911319927280,349
1020165808951544081,1134
10204690247657799,712
1020498842478515469,276
1020554812013110498,577
1020601013589912897,27
1020625999504759649,1149
1020650051153390409,1224
1020807384352301627,1145
1020880392738436378,337
1020907278699926293,244
1020974436603575034,1497
1020994902990309586,944
1021037735848192691,63
1021224875606764277,312
1021234033440144984,1291
1021748295313907771,1124
102186959798274631,25
1022060350949181430,432
1022093797299713814,103
1022102161018428702,46
102232944759984675,152
1022754319615462249,817
1022880392953743048,449
1022919921014496067,21
1022952278778881572,621
1023003068375233800,956
1023124753597926770,67
1023489266328243128,554
1023586994892113066,158
1023591980610256120,938
1023651708106158290,721
1023680620306904840,2025
1024167144619685292,689
1024382667073348586,1420
1024389213795235656,3017
1024389297668230881,175
1024536135876096712,21
102465065004517647,21
102512588278333006,699
1025251256603917818,439
1025389230363850510,42
1026059283984257197,513
1026129885662099102,154
1026238295531555575,392
1026373772724950870,535
1026454432045195219,306
1026512371475353799,794
1026524310883103464,208
1026568367435189004,594
1026881172795748597,57
1026902798871878288,169
1026904124694945867,1529
1027048650724298008,619
1027063944308447032,1116
102708673137547921,1703
1027346697561944098,183
1027411558363306579,1278
102748484021778327,2788
102774803660967138,219
1028141862249579995,1192
1028197197575452001,494
1028241534191390705,1616
1028331370119939306,1267
1028518459026849427,163
102870896304410272,662
1028935668410086248,2793
102916564096343243,238
1029409608812101597,1918
102947125497607912,1300
1029536937122743704,284
1030030021837151648,625
1030055883090050057,1872
1030204438026880717,68
1030553644758052840,237
1030759730559737163,184
1030806394235685221,237
1030870049422619249,384
1031098600643355937,1085
1031311792129464044,1422
1031406141058905516,1123
1031440792356293712,251
1031482119355414645,237
1031509297702638577,311
1031622520369001559,42
103177115120019215,103
103178976381336029,1772
1032056019708689533,1099
1032098643921316501,817
1032118302582101596,126
1032239982592797032,570
1032268377165996159,221
1032271509704203340,1332
1032499006812960349,637
1032513727198769237,311
1032531500996071030,310
1032568776159341828,78
1032759342757478367,3009
1032854474129602187,931
1033343849647400148,627
1033517213874046142,1022
1033594869969251148,309
1033772613186300434,674
1033820291648970228,2000
1034078067446046378,5
1034145213087742077,1305
1034365218453793599,301
1034428542985153760,103
1034443481354664654,2184
1034467571472417479,71
103455265771443704,103
1034680390835648706,1135
1034975330306334376,1046
1034986591081723616,2013
103544899806525112,1308
1035507333661731697,487
1035537169135973672,2790
1035562298007605589,2294
1035917422857413544,533
1036014869123794032,21
1036028877854943880,5
1036461174431760074,25
1036801215342435314,25
1036904183731022701,312
1037171087892820489,195
1037185454886588025,169
1037343177605501527,2380
103743596829631847,981
1037567800552662132,133
1037576450033022622,1314
1037686476384753594,1063
1037703940916711923,534
1037864264615150308,636
1037880681026750339,624
1037918359238806980,1112
1038073169805605322,67
1038121502067510426,311
1038135957661059427,796
1038242688186303259,366
1038372240745053513,725
1038385239485885830,67
1038860746352327266,59
1038886360578801137,1672
103903895865153005,604
1039325468126228516,257
1039355619131980668,673
1039609207328484890,904
1039647754163207194,1045
1039691263055166684,296
1039857942334607043,637
1040031337089474267,699
1040077016764188570,1847
1040233737022508487,81
1040318431236944100,563
1040345044033517891,621
1040386764460078581,1583
1040395549967802488,385
1040719442062965751,1360
1040956150207158123,467
1041072813405082136,49
1041120276714551451,1357
1041242160802760494,1267
1041862546824315082,637
1041876286924420295,2272
1041881831422531250,288
104208028970702634,643
1042114453832646485,1314
1042218328469715688,62
1042247466417491531,317
1042281693862728257,103
1042390836650326389,3041
1042487443873905329,231
1042647292170011991,730
1042709566560957267,1270
1042902775410906774,2444
1042907437320355993,956
1042931850013640738,1116
104306978859714606,1617
1043172475079730765,1672
1043326358157584385,1126
1043333642806966774,1009
1043353460867387448,2082
1043504798972102909,311
104371889523296487,846
1043916036289492195,74
104402437065216444,127
1044053093728854466,1647
1044351941853293416,209
1044454194477338509,2175
1044661071101478520,2402
1044721875620293447,2526
1044862588978890881,1179
1045052817990791975,103
1045083003344604159,141
1045566390738639986,114
1045754338868203346,861
1046179383820636888,974
1046482693804125311,2717
1046589998340339348,1668
1046665309285458004,512
1046718378220622027,42
1046908388850927719,349
1046972913688756654,1155
1047431611432717933,1098
1047537830542784358,1201
1047794341527501536,2149
1048016506744150409,3047
1048075022582024254,2821
1048091794763446290,25
1048228073756814004,1123
1048287701540451970,169
1048645456103558751,67
1048688731646284260,244
1048697137377926225,2338
1048701443189584763,1274
1048792598316575926,237
1049200678873815260,843
1049451206146489846,11
1049488322084176559,791
1049605459526492402,125
1049811835077099554,1308
1050050605903413285,5
1050242631784186932,268
105027562110385125,812
1050385415889106884,2342
1050433033770658034,637
1050452691969197923,2675
1050792231145905516,956
105083127920431693,2566
1050985290602666576,1173
105101440163065084,207
1051231138213056214,238
1051239588350385906,1290
1051247395418496569,1250
1051380192235821245,2487
1051393514817716960,952
1051419091663494864,1134
1051567520954640067,19
1051838461027823238,67
1051936213767767178,623
1052045094896811335,691
105215433795635441,1573
1052163021915285250,643
1052163196755641209,240
1052197766640400828,828
1052264879810330541,345
1052328787725300408,1919
1053020680846725299,103
105303702459733583,1481
1053048623837369027,1172
1053084641482913290,3041
1053582616913084507,1224
1053637043514911728,85
1053671327310249146,2895
1053900712098091628,2968
1053910556914408447,1022
1053913639294390680,1105
1054040281651557673,1490
1054040909713838454,97
1054046895206888780,299
1054250327449508062,2775
105426855056008311,677
1054304403321833290,2533
1054309946789612720,901
1054352346439699136,2893
1054423521583116450,79
1054663770650645727,2272
1054839715128829335,1264
1055070408054058532,141
105520962370912910,1916
1055243982708834888,586
10554996723878467,269
1055537832574608786,1397
1055574640340192946,68
1055652788679162818,169
1055786369085539893,286
1056051572322163458,76
1056326236818740339,2854
1056374222759005857,114
1056497011085711295,1028
1056882801795249516,2030
1057174108918833824,301
1057229105532924952,637
1057363607368570188,1357
1057599392063974389,2096
1057786232444762516,64
1057913429429914803,1440
1057915444507709101,833
1058118984288600581,195
1058211417180407883,537
1058238390175268915,14
1058302884691894527,2444
1058430917193057726,405
1058770391667452655,182
1058789734849123993,26
1058956730698030451,534
1059085397069199484,182
1059280527564311308,1512
1059337541946234515,1216
1059559916695889479,395
1059720535277067674,1403
1059898013372325589,587
1059908839312830111,804
1060143574617567490,756
1060250377668553344,68
1060285658960724477,290
1060381390303911787,1747
1060397874194076841,1540
1060455903070766918,378
1060490625897547498,898
1060599004550612446,387
1060674087078757638,101
1060744058044773660,915
1060768987857485163,1065
1061161973778094437,1755
1061485404895753788,4
106168201101408491,1134
1061740302831298624,209
1061764383210253265,2722
1061886302298588323,690
1061952285670834739,517
1061952340611337353,1105
1062060819928071999,392
1062124896140549197,1424
1062204773822128336,1150
1062277029065299153,662
1062456359486441624,2934
106257559318394505,244
1062789624154720694,178
1062886997759212867,1027
1063149192147336704,387
1063288437162172022,976
1063353175036115045,426
1063466067171557155,871
1063660101431927852,737
1063974940745308192,311
1063996981478394491,244
106440042098934617,1004
1064419940746131047,5
1064432993721281984,1191
1064462408768442523,958
1064783572462570329,114
1064852265999031859,1962
106501656246683799,297
1065072627689730638,361
1065108071734402943,57
1065124019727104864,941
10651987791152567,327
1065249471835096191,103
1065459173481467,143
1065640827276481475,730
1065703970984750238,642
